# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped		ExecutionTime 
0		591959		63266		53937		2706
1		572408		125969		46663		4991
2		496554		186798		47848		6856
3		379455		242017		47502		8290
4		285268		288655		47648		9351
5		230414		327344		47810		10098
6		199874		360269		47840		10756
7		184852		388355		47894		11366
8		176064		413623		47776		11977
9		168648		436692		47706		12553
10		163660		457700		47782		13112
11		160678		477768		47714		13675
12		158377		496329		47831		14219
13		155228		513882		47737		14781
14		152833		530202		47792		15368
15		150835		545353		47633		15948
16		148688		559585		47854		16515
17		147334		573170		47717		17642
18		146064		585925		47697		18143
19		144543		598008		47758		18644
20		142942		609329		47636		19138
21		141357		619655		47698		19611
22		139723		629336		47838		20076
23		138552		638194		47692		20531
24		137015		646275		47759		20999
25		136042		653736		47723		21416
26		134892		660354		47674		21853
27		133591		666171		47719		22292
28		132597		671304		47752		22730
29		131606		675971		47762		23161
30		130897		679984		47696		23586
31		130225		683457		47712		24027
32		129616		686552		47696		24449
33		129059		689288		47698		24868
34		128456		690693		47730		25287
35		128050		691754		47738		25700
36		127753		692559		47747		26131
37		127535		693214		47735		26591
38		127341		693791		47717		27065
39		127211		694239		47724		27527
40		127100		694597		47719		27937
41		126992		694937		47706		28341
42		126888		695245		47716		28747
43		126786		695518		47720		29163
44		126740		695754		47700		29578
45		126688		695988		47705		29996
46		126653		696167		47693		30409
47		126588		696353		47695		30817
48		126542		696509		47684		31206
49		126528		696653		47683		31610
50		126495		696782		47688		32023
51		126474		696895		47690		32431
52		126468		696990		47705		32900
53		126447		697093		47707		33337
54		126428		697204		47698		33770
55		126419		697301		47686		34166
56		126405		697380		47693		34582
57		126411		697462		47687		35006
58		126402		697546		47691		35428
59		126381		697622		47693		35846
60		126359		697703		47687		36269
61		126345		697769		47688		36709
62		126344		697835		47694		37175
63		126314		697903		47682		37596
64		126313		697980		47696		38029
65		126295		698050		47693		38448
66		126283		698097		47692		38867
67		126268		698141		47697		39280
68		126258		698171		47693		39709
69		126253		698196		47690		40140
70		126243		698230		47695		40553
71		126244		698258		47698		40969
72		126229		698286		47693		41376
73		126224		698300		47696		41786
74		126228		698319		47694		42199
75		126230		698341		47696		42611
76		126212		698364		47699		43030
77		126212		698380		47699		43449
78		126202		698400		47697		43870
79		126202		698419		47694		44288
80		126221		698438		47694		44701
81		126221		698466		47696		45120
82		126209		698489		47694		45544
83		126205		698514		47697		45973
84		126201		698539		47697		46390
85		126204		698561		47693		46821
86		126189		698586		47689		47243
87		126182		698606		47691		47661
88		126179		698628		47691		48070
89		126180		698649		47688		48486
90		126182		698668		47688		48902
91		126173		698681		47685		49311
92		126168		698698		47682		49733
93		126154		698712		47687		50142
94		126158		698724		47687		50553
95		126156		698745		47684		50957
96		126160		698761		47684		51387
97		126154		698768		47684		51826
98		126152		698784		47689		52238
99		126159		698806		47684		52646
100		126147		698819		47685		53058
101		126144		698830		47692		53502
102		126143		698846		47691		53985
103		126140		698862		47688		54380
104		126141		698870		47688		54796
105		126139		698881		47687		55222
106		126153		698895		47690		55618
107		126147		698902		47688		56012
108		126146		698905		47688		56418
109		126145		698911		47694		56822
110		126144		698916		47692		57238
111		126150		698926		47689		57641
112		126151		698933		47692		58049
113		126144		698939		47690		58450
114		126139		698945		47694		58850
115		126138		698949		47694		59255
116		126136		698958		47693		59671
117		126134		698961		47691		60081
118		126132		698964		47693		60494
119		126131		698969		47696		60925
120		126130		698975		47695		61341
121		126125		698981		47694		61749
122		126123		698983		47693		62165
123		126127		698988		47693		62575
124		126124		698990		47693		63011
125		126122		698996		47689		63441
126		126122		699000		47689		63851
127		126127		699006		47690		64257
128		126125		699013		47688		64659
129		126124		699018		47691		65072
130		126124		699022		47690		65500
131		126125		699026		47689		65937
132		126126		699030		47687		66330
133		126128		699031		47686		66737
134		126121		699034		47682		67126
135		126123		699035		47682		67519
136		126127		699041		47679		67930
137		126127		699052		47682		68329
138		126125		699058		47684		68762
139		126123		699059		47685		69173
140		126120		699065		47683		69583
141		126120		699068		47682		69995
142		126120		699074		47684		70401
143		126121		699077		47682		70795
144		126124		699081		47685		71219
145		126123		699084		47687		71618
146		126122		699087		47686		72027
147		126122		699089		47686		72432
148		126121		699090		47686		72832
149		126119		699094		47686		73291
150		126119		699094		47686		73732
151		126115		699097		47683		74147
152		126113		699101		47685		74566
153		126118		699105		47682		74978
154		126113		699111		47682		75393
155		126111		699115		47681		75801
156		126115		699120		47680		76214
157		126117		699124		47679		76616
158		126118		699130		47681		77037
159		126113		699134		47680		77450
160		126117		699139		47680		77860
161		126114		699143		47681		78271
162		126114		699146		47682		78683
163		126114		699149		47683		79100
164		126115		699154		47685		79512
165		126115		699159		47687		79931
166		126111		699166		47687		80341
167		126111		699170		47687		80750
168		126107		699176		47687		81144
169		126108		699179		47687		81555
170		126107		699182		47688		81969
171		126107		699184		47688		82383
172		126106		699187		47687		82791
173		126107		699188		47687		83213
174		126108		699191		47687		83651
175		126109		699194		47686		84079
176		126108		699198		47689		84511
177		126107		699201		47690		84944
178		126107		699205		47688		85376
179		126109		699208		47689		85800
180		126106		699211		47692		86222
181		126107		699212		47691		86648
182		126109		699214		47690		87066
183		126114		699220		47689		87488
184		126115		699223		47689		87922
185		126117		699229		47688		88349
186		126121		699232		47690		88771
187		126122		699238		47693		89192
188		126120		699240		47694		89613
189		126120		699242		47694		90036
190		126120		699244		47694		90446
191		126115		699247		47694		90853
192		126117		699251		47695		91270
193		126114		699252		47693		91683
194		126113		699255		47692		92099
195		126105		699261		47688		92515
