# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped		ExecutionTime 
0		8822		4205		3182		198
1		7969		7873		3201		263
2		7335		11133		3274		313
3		6852		14047		3278		351
4		6347		16704		3329		391
5		6065		19213		3319		430
6		5867		21585		3377		469
7		5661		23912		3366		508
8		5417		26086		3359		543
9		5215		28232		3365		572
10		5059		30176		3395		599
11		4819		32169		3368		627
12		4689		33997		3427		660
13		4482		35714		3451		694
14		4314		37453		3408		726
15		4174		39078		3438		757
16		4066		40660		3437		788
17		3973		42248		3403		821
18		3869		43685		3395		853
19		3781		45086		3451		884
20		3694		46438		3387		916
21		3655		47859		3438		954
22		3568		49127		3403		988
23		3471		50423		3406		1022
24		3420		51660		3422		1057
25		3351		52889		3415		1091
26		3258		54053		3394		1124
27		3191		55185		3408		1162
28		3123		56279		3423		1201
29		3045		57374		3390		1235
30		3041		58439		3397		1271
31		3019		59468		3403		1306
32		2974		60568		3399		1341
33		2985		61627		3399		1374
34		2907		62655		3390		1412
35		2897		63669		3413		1447
36		2891		64723		3439		1485
37		2972		65813		3443		1523
38		2865		66886		3446		1559
39		2916		67886		3442		1595
40		2907		68961		3447		1629
41		2862		70007		3456		1663
42		2843		71062		3451		1699
43		2768		72097		3449		1735
44		2759		73096		3452		1770
45		2741		74032		3435		1806
46		2687		75039		3446		1840
47		2654		75901		3445		1879
48		2639		76882		3464		1913
49		2585		77779		3438		1949
50		2597		78687		3449		1987
51		2546		79556		3437		2026
52		2555		80427		3444		2062
53		2568		81408		3460		2098
54		2561		82191		3452		2135
55		2578		83156		3438		2169
56		2597		84054		3484		2206
57		2564		85040		3451		2242
58		2602		85994		3447		2275
59		2574		86994		3469		2310
60		2474		87870		3476		2351
61		2460		88729		3462		2391
62		2456		89602		3479		2428
63		2433		90449		3443		2466
64		2416		91330		3473		2500
65		2423		92114		3478		2536
66		2421		92997		3453		2572
67		2435		93888		3477		2607
68		2383		94845		3484		2642
69		2409		95752		3489		2676
70		2400		96635		3494		2717
71		2402		97521		3479		2755
72		2359		98371		3471		2790
73		2327		99267		3449		2830
74		2294		100082		3455		2866
75		2275		100987		3465		2902
76		2289		101866		3465		2940
77		2246		102688		3457		2976
78		2275		103516		3453		3010
79		2240		104299		3445		3049
80		2227		105071		3469		3086
81		2232		105836		3461		3127
82		2239		106585		3489		3167
83		2240		107357		3473		3205
84		2185		108157		3482		3243
85		2186		108903		3463		3281
86		2191		109614		3472		3323
87		2156		110380		3473		3358
88		2193		111195		3470		3395
89		2205		111946		3474		3435
90		2192		112740		3457		3472
91		2226		113460		3476		3508
92		2184		114240		3477		3547
93		2183		115036		3477		3583
94		2155		115822		3484		3621
95		2093		116620		3484		3662
96		2150		117347		3464		3701
97		2114		118120		3479		3739
98		2108		118880		3478		3778
99		2124		119657		3500		3820
100		2161		120462		3474		3858
101		2133		121208		3470		3895
102		2119		122009		3463		3933
103		2121		122773		3480		3969
104		2088		123486		3463		4004
105		2105		124205		3478		4049
106		2080		125001		3501		4087
107		2076		125750		3484		4124
108		2071		126447		3476		4163
109		2074		127218		3486		4199
110		2061		127918		3479		4237
111		2050		128634		3472		4277
112		2080		129372		3474		4317
113		2059		130127		3474		4355
114		2078		130879		3455		4392
115		2069		131585		3469		4430
116		2041		132299		3474		4470
117		2078		133038		3493		4507
118		2027		133805		3482		4546
119		2085		134561		3482		4582
120		2028		135243		3481		4621
121		2030		135985		3502		4658
122		2022		136708		3493		4696
123		1999		137463		3502		4734
124		2008		138193		3506		4776
125		1991		138950		3521		4822
126		1960		139611		3506		4860
127		1941		140356		3516		4901
128		1927		141096		3494		4944
129		1918		141761		3516		4983
130		1897		142421		3520		5024
131		1895		143110		3520		5064
132		1840		143792		3512		5104
133		1848		144414		3520		5145
134		1889		145034		3511		5186
135		1904		145710		3508		5225
136		1896		146345		3522		5266
137		1901		146971		3535		5303
138		1878		147619		3523		5345
139		1824		148257		3500		5386
140		1808		148885		3502		5431
141		1833		149509		3509		5469
142		1792		150192		3510		5510
143		1802		150897		3476		5549
144		1796		151516		3478		5590
145		1794		152184		3489		5629
146		1790		152789		3500		5668
147		1783		153448		3501		5707
148		1753		154089		3512		5750
149		1746		154672		3499		5801
150		1785		155299		3516		5848
151		1783		155927		3497		5892
152		1800		156621		3495		5934
153		1838		157311		3501		5981
154		1807		158100		3508		6025
155		1825		158708		3516		6068
156		1825		159386		3497		6115
157		1811		159980		3494		6166
158		1788		160610		3510		6224
159		1829		161337		3506		6284
160		1836		161958		3499		6338
161		1819		162602		3485		6382
162		1809		163250		3500		6430
163		1787		163883		3491		6473
164		1816		164531		3513		6514
165		1826		165233		3494		6556
166		1849		165908		3524		6596
167		1782		166602		3526		6640
168		1793		167259		3527		6683
169		1766		167988		3518		6725
170		1702		168583		3518		6766
171		1704		169248		3512		6809
172		1715		169826		3507		6850
173		1692		170444		3518		6890
174		1664		171039		3513		6930
175		1661		171589		3505		6968
176		1632		172141		3501		7013
177		1645		172828		3500		7055
178		1655		173372		3487		7094
179		1647		173937		3500		7132
180		1651		174516		3487		7171
181		1678		175144		3497		7209
182		1687		175814		3485		7255
183		1716		176439		3491		7294
184		1692		177082		3488		7335
185		1661		177693		3518		7374
186		1669		178282		3497		7418
187		1680		178859		3489		7460
188		1666		179457		3497		7501
189		1676		180036		3491		7538
190		1676		180613		3513		7573
191		1660		181219		3505		7611
192		1667		181886		3508		7648
193		1637		182511		3513		7687
194		1671		183122		3504		7731
195		1696		183791		3516		7772
196		1683		184433		3501		7814
